"station_id","value","datetime"
6,1.02,2024-07-21 00:11:03
6,-0.59,2024-11-07 00:22:08
6,0.41,2024-07-19 00:05:08
6,0.47,2024-12-01 00:15:08
6,-0.35,2024-09-01 00:50:08
6,0.85,2024-01-28 00:59:08
6,0.4,2024-07-19 00:02:08
6,-0.37,2024-05-19 00:54:08
6,0.83,2024-01-27 00:02:08
6,-0.02,2024-03-30 00:03:08
6,0.44,2024-05-16 00:45:08
6,1.06,2024-01-13 00:43:08
6,0.39,2024-05-16 00:56:08
6,-0.47,2024-03-15 00:10:08
6,0.38,2024-01-18 00:29:08
6,0.67,2024-06-07 00:45:08
6,0.75,2024-03-18 00:59:08
6,-0.8,2024-02-05 00:02:08
6,-0.72,2024-03-13 00:46:08
6,0.82,2024-03-07 00:38:08
6,-0.61,2024-03-05 00:25:08
6,-0.27,2024-07-15 00:41:08
6,1.02,2024-07-21 00:11:39
6,0.2,2024-03-22 00:18:08
6,0.81,2024-06-03 00:37:08
6,-0.75,2024-05-22 00:06:08
6,-0.46,2024-03-15 00:11:08
6,0.23,2024-06-01 00:26:08
6,-0.74,2024-03-13 00:55:08
6,-0.13,2024-04-05 00:30:08
6,-0.14,2024-03-30 00:29:08
6,0.28,2024-05-27 00:08:08
6,-0.6,2024-11-07 00:23:08
6,0,2024-04-05 00:50:08
6,0.58,2024-10-05 00:26:08
6,0.53,2024-06-05 00:37:08
6,0.59,2024-07-20 00:02:08
6,0.65,2024-07-05 00:35:08
6,1.02,2024-07-21 00:25:58
6,-0.69,2024-01-05 00:09:08
6,0.73,2024-03-18 00:31:08
6,0.1,2024-01-19 00:13:08
6,0.3,2024-03-22 00:37:08
6,0.16,2024-04-03 00:54:08
6,0.44,2024-07-19 00:13:08
6,0.9,2024-07-21 00:43:08
6,1.02,2024-07-21 00:55:57
6,-0.08,2024-03-03 00:23:08
6,-0.08,2024-11-01 00:14:08
6,0.67,2024-05-16 00:03:08
6,0.26,2024-01-30 00:52:08
6,-0.18,2024-03-30 00:38:08
6,0.69,2024-06-07 00:37:08
6,0.72,2024-01-17 00:34:08
6,-0.26,2024-08-01 00:46:08
6,0.28,2024-11-01 00:57:08
6,-0.08,2024-03-15 00:53:08
6,-0.23,2024-05-25 00:35:08
6,0.12,2024-07-17 00:35:08
6,0.76,2024-03-18 00:09:08
6,0.55,2024-11-05 00:54:08
6,0.03,2024-01-25 00:01:08
6,1.12,2024-07-03 00:08:08
6,0.96,2024-05-14 00:22:08
6,-0.24,2024-07-15 00:49:08
6,0.17,2024-06-01 00:39:08
6,0.53,2024-05-28 00:37:08
6,-0.74,2024-03-13 00:56:08
6,-0.58,2024-05-20 00:57:08
6,0.15,2024-05-26 00:35:08
6,1.02,2024-07-21 00:59:31
6,-0.74,2024-05-23 00:52:08
6,1.02,2024-07-21 00:59:33
6,0.91,2024-01-28 00:11:08
6,0.53,2024-12-01 00:20:08
6,0.28,2024-03-20 00:35:08
6,0.86,2024-01-28 00:53:08
6,0.97,2024-01-13 00:24:08
6,0.86,2024-03-01 00:02:08
6,0.13,2024-08-07 00:29:08
6,-0.09,2024-01-24 00:49:08
6,-0.29,2024-05-19 00:33:08
6,-0.58,2024-07-14 00:19:08
6,-0.65,2024-11-07 00:57:08
6,-0.11,2024-03-15 00:50:08
6,-0.17,2024-08-01 00:01:08
6,0.37,2024-01-30 00:19:08
6,0.88,2024-01-28 00:44:08
6,-0.19,2024-11-03 00:05:08
6,0.47,2024-05-03 00:32:08
